'system name         ','optimization level         ','CCSD(T) /CBS CP              	                                    '
'01 Water ... Water (0.90)','MP2/cc-pVTZ CP','-4.57'
'01 Water ... Water (0.95)','MP2/cc-pVTZ CP','-4.88'
'01 Water ... Water (1.00)','MP2/cc-pVTZ CP','-4.89'
'01 Water ... Water (1.05)','MP2/cc-pVTZ CP','-4.72'
'01 Water ... Water (1.10)','MP2/cc-pVTZ CP','-4.45'
'01 Water ... Water (1.25)','MP2/cc-pVTZ CP','-3.46'
'01 Water ... Water (1.50)','MP2/cc-pVTZ CP','-2.11'
'01 Water ... Water (2.00)','MP2/cc-pVTZ CP','-0.87'
'02 Water ... MeOH (0.90)','MP2/cc-pVTZ CP','-5.19'
'02 Water ... MeOH (0.95)','MP2/cc-pVTZ CP','-5.55'
'02 Water ... MeOH (1.00)','MP2/cc-pVTZ CP','-5.57'
'02 Water ... MeOH (1.05)','MP2/cc-pVTZ CP','-5.38'
'02 Water ... MeOH (1.10)','MP2/cc-pVTZ CP','-5.08'
'02 Water ... MeOH (1.25)','MP2/cc-pVTZ CP','-3.94'
'02 Water ... MeOH (1.50)','MP2/cc-pVTZ CP','-2.39'
'02 Water ... MeOH (2.00)','MP2/cc-pVTZ CP','-0.95'
'03 Water ... MeNH2 (0.90)','MP2/cc-pVTZ CP','-6.49'
'03 Water ... MeNH2 (0.95)','MP2/cc-pVTZ CP','-6.87'
'03 Water ... MeNH2 (1.00)','MP2/cc-pVTZ CP','-6.88'
'03 Water ... MeNH2 (1.05)','MP2/cc-pVTZ CP','-6.65'
'03 Water ... MeNH2 (1.10)','MP2/cc-pVTZ CP','-6.28'
'03 Water ... MeNH2 (1.25)','MP2/cc-pVTZ CP','-4.92'
'03 Water ... MeNH2 (1.50)','MP2/cc-pVTZ CP','-2.98'
'03 Water ... MeNH2 (2.00)','MP2/cc-pVTZ CP','-1.14'
'04 Water ... Peptide (0.90)','MP2/cc-pVTZ CP','-7.63'
'04 Water ... Peptide (0.95)','MP2/cc-pVTZ CP','-8.06'
'04 Water ... Peptide (1.00)','MP2/cc-pVTZ CP','-8.08'
'04 Water ... Peptide (1.05)','MP2/cc-pVTZ CP','-7.84'
'04 Water ... Peptide (1.10)','MP2/cc-pVTZ CP','-7.46'
'04 Water ... Peptide (1.25)','MP2/cc-pVTZ CP','-5.99'
'04 Water ... Peptide (1.50)','MP2/cc-pVTZ CP','-3.83'
'04 Water ... Peptide (2.00)','MP2/cc-pVTZ CP','-1.44'
'05 MeOH ... MeOH (0.90)','MP2/cc-pVTZ CP','-5.28'
'05 MeOH ... MeOH (0.95)','MP2/cc-pVTZ CP','-5.69'
'05 MeOH ... MeOH (1.00)','MP2/cc-pVTZ CP','-5.75'
'05 MeOH ... MeOH (1.05)','MP2/cc-pVTZ CP','-5.58'
'05 MeOH ... MeOH (1.10)','MP2/cc-pVTZ CP','-5.28'
'05 MeOH ... MeOH (1.25)','MP2/cc-pVTZ CP','-4.14'
'05 MeOH ... MeOH (1.50)','MP2/cc-pVTZ CP','-2.52'
'05 MeOH ... MeOH (2.00)','MP2/cc-pVTZ CP','-1.01'
'06 MeOH ... MeNH2 (0.90)','MP2/cc-pVTZ CP','-6.97'
'06 MeOH ... MeNH2 (0.95)','MP2/cc-pVTZ CP','-7.47'
'06 MeOH ... MeNH2 (1.00)','MP2/cc-pVTZ CP','-7.54'
'06 MeOH ... MeNH2 (1.05)','MP2/cc-pVTZ CP','-7.34'
'06 MeOH ... MeNH2 (1.10)','MP2/cc-pVTZ CP','-6.97'
'06 MeOH ... MeNH2 (1.25)','MP2/cc-pVTZ CP','-5.5'
'06 MeOH ... MeNH2 (1.50)','MP2/cc-pVTZ CP','-3.35'
'06 MeOH ... MeNH2 (2.00)','MP2/cc-pVTZ CP','-1.27'
'07 MeOH ... Peptide (0.90)','MP2/cc-pVTZ CP','-7.63'
'07 MeOH ... Peptide (0.95)','MP2/cc-pVTZ CP','-8.14'
'07 MeOH ... Peptide (1.00)','MP2/cc-pVTZ CP','-8.22'
'07 MeOH ... Peptide (1.05)','MP2/cc-pVTZ CP','-8.02'
'07 MeOH ... Peptide (1.10)','MP2/cc-pVTZ CP','-7.66'
'07 MeOH ... Peptide (1.25)','MP2/cc-pVTZ CP','-6.18'
'07 MeOH ... Peptide (1.50)','MP2/cc-pVTZ CP','-3.65'
'07 MeOH ... Peptide (2.00)','MP2/cc-pVTZ CP','-1.1'
'08 MeOH ... Water (0.90)','MP2/cc-pVTZ CP','-4.59'
'08 MeOH ... Water (0.95)','MP2/cc-pVTZ CP','-4.95'
'08 MeOH ... Water (1.00)','MP2/cc-pVTZ CP','-5'
'08 MeOH ... Water (1.05)','MP2/cc-pVTZ CP','-4.85'
'08 MeOH ... Water (1.10)','MP2/cc-pVTZ CP','-4.59'
'08 MeOH ... Water (1.25)','MP2/cc-pVTZ CP','-3.59'
'08 MeOH ... Water (1.50)','MP2/cc-pVTZ CP','-2.2'
'08 MeOH ... Water (2.00)','MP2/cc-pVTZ CP','-0.91'
'09 MeNH2 ... MeOH (0.90)','MP2/cc-pVTZ CP','-2.81'
'09 MeNH2 ... MeOH (0.95)','MP2/cc-pVTZ CP','-3.04'
'09 MeNH2 ... MeOH (1.00)','MP2/cc-pVTZ CP','-3.04'
'09 MeNH2 ... MeOH (1.05)','MP2/cc-pVTZ CP','-2.9'
'09 MeNH2 ... MeOH (1.10)','MP2/cc-pVTZ CP','-2.69'
'09 MeNH2 ... MeOH (1.25)','MP2/cc-pVTZ CP','-1.98'
'09 MeNH2 ... MeOH (1.50)','MP2/cc-pVTZ CP','-1.1'
'09 MeNH2 ... MeOH (2.00)','MP2/cc-pVTZ CP','-0.39'
'10 MeNH2 ... MeNH2 (0.90)','MP2/cc-pVTZ CP','-3.7'
'10 MeNH2 ... MeNH2 (0.95)','MP2/cc-pVTZ CP','-4.09'
'10 MeNH2 ... MeNH2 (1.00)','MP2/cc-pVTZ CP','-4.15'
'10 MeNH2 ... MeNH2 (1.05)','MP2/cc-pVTZ CP','-4.01'
'10 MeNH2 ... MeNH2 (1.10)','MP2/cc-pVTZ CP','-3.75'
'10 MeNH2 ... MeNH2 (1.25)','MP2/cc-pVTZ CP','-2.79'
'10 MeNH2 ... MeNH2 (1.50)','MP2/cc-pVTZ CP','-1.31'
'10 MeNH2 ... MeNH2 (2.00)','MP2/cc-pVTZ CP','-0.39'
'11 MeNH2 ... Peptide (0.90)','MP2/cc-pVTZ CP','-4.95'
'11 MeNH2 ... Peptide (0.95)','MP2/cc-pVTZ CP','-5.36'
'11 MeNH2 ... Peptide (1.00)','MP2/cc-pVTZ CP','-5.41'
'11 MeNH2 ... Peptide (1.05)','MP2/cc-pVTZ CP','-5.24'
'11 MeNH2 ... Peptide (1.10)','MP2/cc-pVTZ CP','-4.94'
'11 MeNH2 ... Peptide (1.25)','MP2/cc-pVTZ CP','-3.21'
'11 MeNH2 ... Peptide (1.50)','MP2/cc-pVTZ CP','-1.4'
'11 MeNH2 ... Peptide (2.00)','MP2/cc-pVTZ CP','-0.46'
'12 MeNH2 ... Water (0.90)','MP2/cc-pVTZ CP','-6.75'
'12 MeNH2 ... Water (0.95)','MP2/cc-pVTZ CP','-7.2'
'12 MeNH2 ... Water (1.00)','MP2/cc-pVTZ CP','-7.25'
'12 MeNH2 ... Water (1.05)','MP2/cc-pVTZ CP','-7.03'
'12 MeNH2 ... Water (1.10)','MP2/cc-pVTZ CP','-6.66'
'12 MeNH2 ... Water (1.25)','MP2/cc-pVTZ CP','-5.22'
'12 MeNH2 ... Water (1.50)','MP2/cc-pVTZ CP','-3.15'
'12 MeNH2 ... Water (2.00)','MP2/cc-pVTZ CP','-1.2'
'13 Peptide ... MeOH (0.90)','MP2/cc-pVTZ CP','-5.67'
'13 Peptide ... MeOH (0.95)','MP2/cc-pVTZ CP','-6.11'
'13 Peptide ... MeOH (1.00)','MP2/cc-pVTZ CP','-6.18'
'13 Peptide ... MeOH (1.05)','MP2/cc-pVTZ CP','-6.03'
'13 Peptide ... MeOH (1.10)','MP2/cc-pVTZ CP','-5.74'
'13 Peptide ... MeOH (1.25)','MP2/cc-pVTZ CP','-4.6'
'13 Peptide ... MeOH (1.50)','MP2/cc-pVTZ CP','-2.95'
'13 Peptide ... MeOH (2.00)','MP2/cc-pVTZ CP','-1.3'
'14 Peptide ... MeNH2 (0.90)','MP2/cc-pVTZ CP','-6.81'
'14 Peptide ... MeNH2 (0.95)','MP2/cc-pVTZ CP','-7.34'
'14 Peptide ... MeNH2 (1.00)','MP2/cc-pVTZ CP','-7.45'
'14 Peptide ... MeNH2 (1.05)','MP2/cc-pVTZ CP','-7.29'
'14 Peptide ... MeNH2 (1.10)','MP2/cc-pVTZ CP','-6.97'
'14 Peptide ... MeNH2 (1.25)','MP2/cc-pVTZ CP','-5.61'
'14 Peptide ... MeNH2 (1.50)','MP2/cc-pVTZ CP','-3.55'
'14 Peptide ... MeNH2 (2.00)','MP2/cc-pVTZ CP','-1.49'
'15 Peptide ... Peptide (0.90)','MP2/cc-pVTZ CP','-8.02'
'15 Peptide ... Peptide (0.95)','MP2/cc-pVTZ CP','-8.53'
'15 Peptide ... Peptide (1.00)','MP2/cc-pVTZ CP','-8.62'
'15 Peptide ... Peptide (1.05)','MP2/cc-pVTZ CP','-8.45'
'15 Peptide ... Peptide (1.10)','MP2/cc-pVTZ CP','-8.1'
'15 Peptide ... Peptide (1.25)','MP2/cc-pVTZ CP','-6.66'
'15 Peptide ... Peptide (1.50)','MP2/cc-pVTZ CP','-4.42'
'15 Peptide ... Peptide (2.00)','MP2/cc-pVTZ CP','-1.77'
'16 Peptide ... Water (0.90)','MP2/cc-pVTZ CP','-4.7'
'16 Peptide ... Water (0.95)','MP2/cc-pVTZ CP','-5.06'
'16 Peptide ... Water (1.00)','MP2/cc-pVTZ CP','-5.12'
'16 Peptide ... Water (1.05)','MP2/cc-pVTZ CP','-4.98'
'16 Peptide ... Water (1.10)','MP2/cc-pVTZ CP','-4.74'
'16 Peptide ... Water (1.25)','MP2/cc-pVTZ CP','-3.79'
'16 Peptide ... Water (1.50)','MP2/cc-pVTZ CP','-2.45'
'16 Peptide ... Water (2.00)','MP2/cc-pVTZ CP','-1.13'
'17 Uracil ... Uracil (BP) (0.90)','MP2/cc-pVTZ CP','-15.7'
'17 Uracil ... Uracil (BP) (0.95)','MP2/cc-pVTZ CP','-16.9'
'17 Uracil ... Uracil (BP) (1.00)','MP2/cc-pVTZ CP','-17.18'
'17 Uracil ... Uracil (BP) (1.05)','MP2/cc-pVTZ CP','-16.86'
'17 Uracil ... Uracil (BP) (1.10)','MP2/cc-pVTZ CP','-16.17'
'17 Uracil ... Uracil (BP) (1.25)','MP2/cc-pVTZ CP','-13.15'
'17 Uracil ... Uracil (BP) (1.50)','MP2/cc-pVTZ CP','-8.35'
'17 Uracil ... Uracil (BP) (2.00)','MP2/cc-pVTZ CP','-3.33'
'18 Water ... Pyridine (0.90)','MP2/cc-pVTZ CP','-6.39'
'18 Water ... Pyridine (0.95)','MP2/cc-pVTZ CP','-6.8'
'18 Water ... Pyridine (1.00)','MP2/cc-pVTZ CP','-6.83'
'18 Water ... Pyridine (1.05)','MP2/cc-pVTZ CP','-6.62'
'18 Water ... Pyridine (1.10)','MP2/cc-pVTZ CP','-6.27'
'18 Water ... Pyridine (1.25)','MP2/cc-pVTZ CP','-4.93'
'18 Water ... Pyridine (1.50)','MP2/cc-pVTZ CP','-3.01'
'18 Water ... Pyridine (2.00)','MP2/cc-pVTZ CP','-1.19'
'19 MeOH ... Pyridine (0.90)','MP2/cc-pVTZ CP','-6.78'
'19 MeOH ... Pyridine (0.95)','MP2/cc-pVTZ CP','-7.31'
'19 MeOH ... Pyridine (1.00)','MP2/cc-pVTZ CP','-7.4'
'19 MeOH ... Pyridine (1.05)','MP2/cc-pVTZ CP','-7.23'
'19 MeOH ... Pyridine (1.10)','MP2/cc-pVTZ CP','-6.88'
'19 MeOH ... Pyridine (1.25)','MP2/cc-pVTZ CP','-5.48'
'19 MeOH ... Pyridine (1.50)','MP2/cc-pVTZ CP','-3.38'
'19 MeOH ... Pyridine (2.00)','MP2/cc-pVTZ CP','-1.33'
'20 AcOH ... AcOH (0.90)','MP2/cc-pVTZ CP','-17.45'
'20 AcOH ... AcOH (0.95)','MP2/cc-pVTZ CP','-18.79'
'20 AcOH ... AcOH (1.00)','MP2/cc-pVTZ CP','-19.09'
'20 AcOH ... AcOH (1.05)','MP2/cc-pVTZ CP','-18.72'
'20 AcOH ... AcOH (1.10)','MP2/cc-pVTZ CP','-17.94'
'20 AcOH ... AcOH (1.25)','MP2/cc-pVTZ CP','-14.56'
'20 AcOH ... AcOH (1.50)','MP2/cc-pVTZ CP','-9.21'
'20 AcOH ... AcOH (2.00)','MP2/cc-pVTZ CP','-3.59'
'21 AcNH2 ... AcNH2 (0.90)','MP2/cc-pVTZ CP','-14.93'
'21 AcNH2 ... AcNH2 (0.95)','MP2/cc-pVTZ CP','-16.03'
'21 AcNH2 ... AcNH2 (1.00)','MP2/cc-pVTZ CP','-16.26'
'21 AcNH2 ... AcNH2 (1.05)','MP2/cc-pVTZ CP','-15.94'
'21 AcNH2 ... AcNH2 (1.10)','MP2/cc-pVTZ CP','-15.26'
'21 AcNH2 ... AcNH2 (1.25)','MP2/cc-pVTZ CP','-12.42'
'21 AcNH2 ... AcNH2 (1.50)','MP2/cc-pVTZ CP','-8'
'21 AcNH2 ... AcNH2 (2.00)','MP2/cc-pVTZ CP','-3'
'22 AcOH ... Uracil (0.90)','MP2/cc-pVTZ CP','-17.9'
'22 AcOH ... Uracil (0.95)','MP2/cc-pVTZ CP','-19.19'
'22 AcOH ... Uracil (1.00)','MP2/cc-pVTZ CP','-19.49'
'22 AcOH ... Uracil (1.05)','MP2/cc-pVTZ CP','-19.15'
'22 AcOH ... Uracil (1.10)','MP2/cc-pVTZ CP','-18.41'
'22 AcOH ... Uracil (1.25)','MP2/cc-pVTZ CP','-15.14'
'22 AcOH ... Uracil (1.50)','MP2/cc-pVTZ CP','-9.86'
'22 AcOH ... Uracil (2.00)','MP2/cc-pVTZ CP','-4.15'
'23 AcNH2 ... Uracil (0.90)','MP2/cc-pVTZ CP','-17.7'
'23 AcNH2 ... Uracil (0.95)','MP2/cc-pVTZ CP','-18.89'
'23 AcNH2 ... Uracil (1.00)','MP2/cc-pVTZ CP','-19.19'
'23 AcNH2 ... Uracil (1.05)','MP2/cc-pVTZ CP','-18.9'
'23 AcNH2 ... Uracil (1.10)','MP2/cc-pVTZ CP','-18.22'
'23 AcNH2 ... Uracil (1.25)','MP2/cc-pVTZ CP','-15.21'
'23 AcNH2 ... Uracil (1.50)','MP2/cc-pVTZ CP','-10.23'
'23 AcNH2 ... Uracil (2.00)','MP2/cc-pVTZ CP','-4.65'
'24 Benzene ...  Benzene (pi-pi) (0.90)','MP2/cc-pVTZ CP','-0.23'
'24 Benzene ...  Benzene (pi-pi) (0.95)','MP2/cc-pVTZ CP','-2.07'
'24 Benzene ...  Benzene (pi-pi) (1.00)','MP2/cc-pVTZ CP','-2.74'
'24 Benzene ...  Benzene (pi-pi) (1.05)','MP2/cc-pVTZ CP','-2.8'
'24 Benzene ...  Benzene (pi-pi) (1.10)','MP2/cc-pVTZ CP','-2.58'
'24 Benzene ...  Benzene (pi-pi) (1.25)','MP2/cc-pVTZ CP','-1.54'
'24 Benzene ...  Benzene (pi-pi) (1.50)','MP2/cc-pVTZ CP','-0.49'
'24 Benzene ...  Benzene (pi-pi) (2.00)','MP2/cc-pVTZ CP','-0.06'
'25 Pyridine ...  Pyridine (pi-pi) (0.90)','MP2/cc-pVTZ CP','-1.32'
'25 Pyridine ...  Pyridine (pi-pi) (0.95)','MP2/cc-pVTZ CP','-3.17'
'25 Pyridine ...  Pyridine (pi-pi) (1.00)','MP2/cc-pVTZ CP','-3.83'
'25 Pyridine ...  Pyridine (pi-pi) (1.05)','MP2/cc-pVTZ CP','-3.86'
'25 Pyridine ...  Pyridine (pi-pi) (1.10)','MP2/cc-pVTZ CP','-3.58'
'25 Pyridine ...  Pyridine (pi-pi) (1.25)','MP2/cc-pVTZ CP','-2.36'
'25 Pyridine ...  Pyridine (pi-pi) (1.50)','MP2/cc-pVTZ CP','-0.96'
'25 Pyridine ...  Pyridine (pi-pi) (2.00)','MP2/cc-pVTZ CP','-0.24'
'26 Uracil ...  Uracil (pi-pi) (0.90)','MP2/cc-pVTZ CP','-7.86'
'26 Uracil ...  Uracil (pi-pi) (0.95)','MP2/cc-pVTZ CP','-9.5'
'26 Uracil ...  Uracil (pi-pi) (1.00)','MP2/cc-pVTZ CP','-9.82'
'26 Uracil ...  Uracil (pi-pi) (1.05)','MP2/cc-pVTZ CP','-9.43'
'26 Uracil ...  Uracil (pi-pi) (1.10)','MP2/cc-pVTZ CP','-8.69'
'26 Uracil ...  Uracil (pi-pi) (1.25)','MP2/cc-pVTZ CP','-6.07'
'26 Uracil ...  Uracil (pi-pi) (1.50)','MP2/cc-pVTZ CP','-3.1'
'26 Uracil ...  Uracil (pi-pi) (2.00)','MP2/cc-pVTZ CP','-0.99'
'27 Benzene ...  Pyridine (pi-pi) (0.90)','MP2/cc-pVTZ CP','-0.73'
'27 Benzene ...  Pyridine (pi-pi) (0.95)','MP2/cc-pVTZ CP','-2.69'
'27 Benzene ...  Pyridine (pi-pi) (1.00)','MP2/cc-pVTZ CP','-3.37'
'27 Benzene ...  Pyridine (pi-pi) (1.05)','MP2/cc-pVTZ CP','-3.4'
'27 Benzene ...  Pyridine (pi-pi) (1.10)','MP2/cc-pVTZ CP','-3.13'
'27 Benzene ...  Pyridine (pi-pi) (1.25)','MP2/cc-pVTZ CP','-1.97'
'27 Benzene ...  Pyridine (pi-pi) (1.50)','MP2/cc-pVTZ CP','-0.72'
'27 Benzene ...  Pyridine (pi-pi) (2.00)','MP2/cc-pVTZ CP','-0.15'
'28 Benzene ...  Uracil (pi-pi) (0.90)','MP2/cc-pVTZ CP','-3.53'
'28 Benzene ...  Uracil (pi-pi) (0.95)','MP2/cc-pVTZ CP','-5.22'
'28 Benzene ...  Uracil (pi-pi) (1.00)','MP2/cc-pVTZ CP','-5.71'
'28 Benzene ...  Uracil (pi-pi) (1.05)','MP2/cc-pVTZ CP','-5.55'
'28 Benzene ...  Uracil (pi-pi) (1.10)','MP2/cc-pVTZ CP','-5.08'
'28 Benzene ...  Uracil (pi-pi) (1.25)','MP2/cc-pVTZ CP','-3.29'
'28 Benzene ...  Uracil (pi-pi) (1.50)','MP2/cc-pVTZ CP','-1.36'
'28 Benzene ...  Uracil (pi-pi) (2.00)','MP2/cc-pVTZ CP','-0.25'
'29 Pyridine ...  Uracil (pi-pi) (0.90)','MP2/cc-pVTZ CP','-3.74'
'29 Pyridine ...  Uracil (pi-pi) (0.95)','MP2/cc-pVTZ CP','-6.17'
'29 Pyridine ...  Uracil (pi-pi) (1.00)','MP2/cc-pVTZ CP','-6.81'
'29 Pyridine ...  Uracil (pi-pi) (1.05)','MP2/cc-pVTZ CP','-6.58'
'29 Pyridine ...  Uracil (pi-pi) (1.10)','MP2/cc-pVTZ CP','-5.97'
'29 Pyridine ...  Uracil (pi-pi) (1.25)','MP2/cc-pVTZ CP','-3.87'
'29 Pyridine ...  Uracil (pi-pi) (1.50)','MP2/cc-pVTZ CP','-1.78'
'29 Pyridine ...  Uracil (pi-pi) (2.00)','MP2/cc-pVTZ CP','-0.53'
'30 Benzene ...  Ethene (0.90)','MP2/cc-pVTZ CP','-0.26'
'30 Benzene ...  Ethene (0.95)','MP2/cc-pVTZ CP','-1.13'
'30 Benzene ...  Ethene (1.00)','MP2/cc-pVTZ CP','-1.41'
'30 Benzene ...  Ethene (1.05)','MP2/cc-pVTZ CP','-1.4'
'30 Benzene ...  Ethene (1.10)','MP2/cc-pVTZ CP','-1.26'
'30 Benzene ...  Ethene (1.25)','MP2/cc-pVTZ CP','-0.69'
'30 Benzene ...  Ethene (1.50)','MP2/cc-pVTZ CP','-0.17'
'30 Benzene ...  Ethene (2.00)','MP2/cc-pVTZ CP','0.01'
'31 Uracil ...  Ethene (0.90)','MP2/cc-pVTZ CP','-2.57'
'31 Uracil ...  Ethene (0.95)','MP2/cc-pVTZ CP','-3.24'
'31 Uracil ...  Ethene (1.00)','MP2/cc-pVTZ CP','-3.38'
'31 Uracil ...  Ethene (1.05)','MP2/cc-pVTZ CP','-3.24'
'31 Uracil ...  Ethene (1.10)','MP2/cc-pVTZ CP','-2.96'
'31 Uracil ...  Ethene (1.25)','MP2/cc-pVTZ CP','-1.99'
'31 Uracil ...  Ethene (1.50)','MP2/cc-pVTZ CP','-0.93'
'31 Uracil ...  Ethene (2.00)','MP2/cc-pVTZ CP','-0.25'
'32 Uracil ...  Ethyne (0.90)','MP2/cc-pVTZ CP','-2.79'
'32 Uracil ...  Ethyne (0.95)','MP2/cc-pVTZ CP','-3.56'
'32 Uracil ...  Ethyne (1.00)','MP2/cc-pVTZ CP','-3.74'
'32 Uracil ...  Ethyne (1.05)','MP2/cc-pVTZ CP','-3.59'
'32 Uracil ...  Ethyne (1.10)','MP2/cc-pVTZ CP','-3.29'
'32 Uracil ...  Ethyne (1.25)','MP2/cc-pVTZ CP','-2.23'
'32 Uracil ...  Ethyne (1.50)','MP2/cc-pVTZ CP','-1.04'
'32 Uracil ...  Ethyne (2.00)','MP2/cc-pVTZ CP','-0.27'
'33 Pyridine ...  Ethene (0.90)','MP2/cc-pVTZ CP','-0.89'
'33 Pyridine ...  Ethene (0.95)','MP2/cc-pVTZ CP','-1.62'
'33 Pyridine ...  Ethene (1.00)','MP2/cc-pVTZ CP','-1.86'
'33 Pyridine ...  Ethene (1.05)','MP2/cc-pVTZ CP','-1.83'
'33 Pyridine ...  Ethene (1.10)','MP2/cc-pVTZ CP','-1.67'
'33 Pyridine ...  Ethene (1.25)','MP2/cc-pVTZ CP','-1.03'
'33 Pyridine ...  Ethene (1.50)','MP2/cc-pVTZ CP','-0.37'
'33 Pyridine ...  Ethene (2.00)','MP2/cc-pVTZ CP','-0.05'
'34 Pentane ...  Pentane (0.90)','MP2/cc-pVTZ CP','-2.86'
'34 Pentane ...  Pentane (0.95)','MP2/cc-pVTZ CP','-3.62'
'34 Pentane ...  Pentane (1.00)','MP2/cc-pVTZ CP','-3.77'
'34 Pentane ...  Pentane (1.05)','MP2/cc-pVTZ CP','-3.61'
