'system name         ','optimization level         ','CCSD(T) /CBS CP              	                                    '
'01 methane ... F2 0.80','MP2/cc-pVTZ CP','0.306'
'01 methane ... F2 0.85','MP2/cc-pVTZ CP','-0.237'
'01 methane ... F2 0.90','MP2/cc-pVTZ CP','-0.444'
'01 methane ... F2 0.95','MP2/cc-pVTZ CP','-0.487'
'01 methane ... F2 1.00','MP2/cc-pVTZ CP','-0.458'
'01 methane ... F2 1.05','MP2/cc-pVTZ CP','-0.4'
'01 methane ... F2 1.10','MP2/cc-pVTZ CP','-0.338'
'01 methane ... F2 1.25','MP2/cc-pVTZ CP','-0.187'
'01 methane ... F2 1.50','MP2/cc-pVTZ CP','-0.07'
'01 methane ... F2 2.00','MP2/cc-pVTZ CP','-0.014'
'02 methane ... Cl2 0.80','MP2/cc-pVTZ CP','1.804'
'02 methane ... Cl2 0.85','MP2/cc-pVTZ CP','-0.066'
'02 methane ... Cl2 0.90','MP2/cc-pVTZ CP','-0.841'
'02 methane ... Cl2 0.95','MP2/cc-pVTZ CP','-1.073'
'02 methane ... Cl2 1.00','MP2/cc-pVTZ CP','-1.055'
'02 methane ... Cl2 1.05','MP2/cc-pVTZ CP','-0.937'
'02 methane ... Cl2 1.10','MP2/cc-pVTZ CP','-0.792'
'02 methane ... Cl2 1.25','MP2/cc-pVTZ CP','-0.427'
'02 methane ... Cl2 1.50','MP2/cc-pVTZ CP','-0.151'
'02 methane ... Cl2 2.00','MP2/cc-pVTZ CP','-0.029'
'03 methane ... Br2 0.80','MP2/cc-pVTZ CP','2.441'
'03 methane ... Br2 0.85','MP2/cc-pVTZ CP','0.087'
'03 methane ... Br2 0.90','MP2/cc-pVTZ CP','-0.927'
'03 methane ... Br2 0.95','MP2/cc-pVTZ CP','-1.263'
'03 methane ... Br2 1.00','MP2/cc-pVTZ CP','-1.276'
'03 methane ... Br2 1.05','MP2/cc-pVTZ CP','-1.152'
'03 methane ... Br2 1.10','MP2/cc-pVTZ CP','-0.984'
'03 methane ... Br2 1.25','MP2/cc-pVTZ CP','-0.541'
'03 methane ... Br2 1.50','MP2/cc-pVTZ CP','-0.193'
'03 methane ... Br2 2.00','MP2/cc-pVTZ CP','-0.037'
'04 methane ... I2 0.80','MP2/cc-pVTZ CP','2.807'
'04 methane ... I2 0.85','MP2/cc-pVTZ CP','0.222'
'04 methane ... I2 0.90','MP2/cc-pVTZ CP','-0.908'
'04 methane ... I2 0.95','MP2/cc-pVTZ CP','-1.295'
'04 methane ... I2 1.00','MP2/cc-pVTZ CP','-1.324'
'04 methane ... I2 1.05','MP2/cc-pVTZ CP','-1.201'
'04 methane ... I2 1.10','MP2/cc-pVTZ CP','-1.028'
'04 methane ... I2 1.25','MP2/cc-pVTZ CP','-0.563'
'04 methane ... I2 1.50','MP2/cc-pVTZ CP','-0.199'
'04 methane ... I2 2.00','MP2/cc-pVTZ CP','-0.037'
'05 fluoromethane ... methane 0.80','MP2/cc-pVTZ CP','0.759'
'05 fluoromethane ... methane 0.85','MP2/cc-pVTZ CP','-0.287'
'05 fluoromethane ... methane 0.90','MP2/cc-pVTZ CP','-0.671'
'05 fluoromethane ... methane 0.95','MP2/cc-pVTZ CP','-0.755'
'05 fluoromethane ... methane 1.00','MP2/cc-pVTZ CP','-0.713'
'05 fluoromethane ... methane 1.05','MP2/cc-pVTZ CP','-0.625'
'05 fluoromethane ... methane 1.10','MP2/cc-pVTZ CP','-0.527'
'05 fluoromethane ... methane 1.25','MP2/cc-pVTZ CP','-0.293'
'05 fluoromethane ... methane 1.50','MP2/cc-pVTZ CP','-0.111'
'05 fluoromethane ... methane 2.00','MP2/cc-pVTZ CP','-0.023'
'06 chloromethane ... methane 0.80','MP2/cc-pVTZ CP','1.698'
'06 chloromethane ... methane 0.85','MP2/cc-pVTZ CP','-0.131'
'06 chloromethane ... methane 0.90','MP2/cc-pVTZ CP','-0.809'
'06 chloromethane ... methane 0.95','MP2/cc-pVTZ CP','-0.988'
'06 chloromethane ... methane 1.00','MP2/cc-pVTZ CP','-0.959'
'06 chloromethane ... methane 1.05','MP2/cc-pVTZ CP','-0.852'
'06 chloromethane ... methane 1.10','MP2/cc-pVTZ CP','-0.726'
'06 chloromethane ... methane 1.25','MP2/cc-pVTZ CP','-0.411'
'06 chloromethane ... methane 1.50','MP2/cc-pVTZ CP','-0.16'
'06 chloromethane ... methane 2.00','MP2/cc-pVTZ CP','-0.035'
'07 trifluoromethane ... methane 0.80','MP2/cc-pVTZ CP','0.33'
'07 trifluoromethane ... methane 0.85','MP2/cc-pVTZ CP','-0.413'
'07 trifluoromethane ... methane 0.90','MP2/cc-pVTZ CP','-0.657'
'07 trifluoromethane ... methane 0.95','MP2/cc-pVTZ CP','-0.677'
'07 trifluoromethane ... methane 1.00','MP2/cc-pVTZ CP','-0.608'
'07 trifluoromethane ... methane 1.05','MP2/cc-pVTZ CP','-0.512'
'07 trifluoromethane ... methane 1.10','MP2/cc-pVTZ CP','-0.418'
'07 trifluoromethane ... methane 1.25','MP2/cc-pVTZ CP','-0.213'
'07 trifluoromethane ... methane 1.50','MP2/cc-pVTZ CP','-0.071'
'07 trifluoromethane ... methane 2.00','MP2/cc-pVTZ CP','-0.012'
'08 trichloromethane ... methane 0.80','MP2/cc-pVTZ CP','1.629'
'08 trichloromethane ... methane 0.85','MP2/cc-pVTZ CP','-0.207'
'08 trichloromethane ... methane 0.90','MP2/cc-pVTZ CP','-0.949'
'08 trichloromethane ... methane 0.95','MP2/cc-pVTZ CP','-1.156'
'08 trichloromethane ... methane 1.00','MP2/cc-pVTZ CP','-1.117'
'08 trichloromethane ... methane 1.05','MP2/cc-pVTZ CP','-0.983'
'08 trichloromethane ... methane 1.10','MP2/cc-pVTZ CP','-0.824'
